Time,THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 1:ACAPULCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 1:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 1:ACAPULCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Load [W],THERMAL ZONE 2:ACAPULCO ANN CLG .4% CONDNS DB=>MWB:Des Sens Cool Load [W],THERMAL ZONE 2:PIACENZA ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],THERMAL ZONE 2:ACAPULCO ANN CLG .4% CONDNS DB=>MWB:Des Cool Mass Flow [kg/s]
00:15:00,1.282047E+05,0.000000E+00,6.615757E+00,0.000000E+00,1.355577E+04,0.000000E+00,6.995763E-01,0.000000E+00
00:30:00,1.282051E+05,0.000000E+00,6.615775E+00,0.000000E+00,1.355586E+04,0.000000E+00,6.995808E-01,0.000000E+00
00:45:00,1.282054E+05,0.000000E+00,6.615792E+00,0.000000E+00,1.355594E+04,0.000000E+00,6.995849E-01,0.000000E+00
01:00:00,1.282057E+05,0.000000E+00,6.615807E+00,0.000000E+00,1.355601E+04,0.000000E+00,6.995886E-01,0.000000E+00
01:15:00,1.282060E+05,0.000000E+00,6.615821E+00,0.000000E+00,1.355608E+04,0.000000E+00,6.995920E-01,0.000000E+00
01:30:00,1.282062E+05,0.000000E+00,6.615835E+00,0.000000E+00,1.355614E+04,0.000000E+00,6.995951E-01,0.000000E+00
01:45:00,1.282065E+05,0.000000E+00,6.615847E+00,0.000000E+00,1.355619E+04,0.000000E+00,6.995979E-01,0.000000E+00
02:00:00,1.282067E+05,0.000000E+00,6.615859E+00,0.000000E+00,1.355625E+04,0.000000E+00,6.996006E-01,0.000000E+00
02:15:00,1.282069E+05,0.000000E+00,6.615870E+00,0.000000E+00,1.355629E+04,0.000000E+00,6.996030E-01,0.000000E+00
02:30:00,1.282071E+05,0.000000E+00,6.615880E+00,0.000000E+00,1.355634E+04,0.000000E+00,6.996053E-01,0.000000E+00
02:45:00,1.282073E+05,0.000000E+00,6.615890E+00,0.000000E+00,1.355638E+04,0.000000E+00,6.996075E-01,0.000000E+00
03:00:00,1.282075E+05,0.000000E+00,6.615899E+00,0.000000E+00,1.355642E+04,0.000000E+00,6.996094E-01,0.000000E+00
03:15:00,1.282076E+05,0.000000E+00,6.615907E+00,0.000000E+00,1.355646E+04,0.000000E+00,6.996113E-01,0.000000E+00
03:30:00,1.282078E+05,0.000000E+00,6.615915E+00,0.000000E+00,1.355649E+04,0.000000E+00,6.996130E-01,0.000000E+00
03:45:00,1.282080E+05,0.000000E+00,6.615923E+00,0.000000E+00,1.355652E+04,0.000000E+00,6.996147E-01,0.000000E+00
04:00:00,1.282081E+05,0.000000E+00,6.615930E+00,0.000000E+00,1.355655E+04,0.000000E+00,6.996162E-01,0.000000E+00
04:15:00,1.282082E+05,0.000000E+00,6.615937E+00,0.000000E+00,1.355658E+04,0.000000E+00,6.996177E-01,0.000000E+00
04:30:00,1.282083E+05,0.000000E+00,6.615943E+00,0.000000E+00,1.355661E+04,0.000000E+00,6.996191E-01,0.000000E+00
04:45:00,1.282085E+05,0.000000E+00,6.615950E+00,0.000000E+00,1.355663E+04,0.000000E+00,6.996204E-01,0.000000E+00
05:00:00,1.282086E+05,0.000000E+00,6.615955E+00,0.000000E+00,1.355666E+04,0.000000E+00,6.996216E-01,0.000000E+00
05:15:00,1.282087E+05,0.000000E+00,6.615961E+00,0.000000E+00,1.355668E+04,0.000000E+00,6.996228E-01,0.000000E+00
05:30:00,1.282088E+05,0.000000E+00,6.615966E+00,0.000000E+00,1.355670E+04,0.000000E+00,6.996239E-01,0.000000E+00
05:45:00,1.282089E+05,0.000000E+00,6.615971E+00,0.000000E+00,1.355672E+04,0.000000E+00,6.996249E-01,0.000000E+00
06:00:00,1.282090E+05,0.000000E+00,6.615976E+00,0.000000E+00,1.355674E+04,0.000000E+00,6.996259E-01,0.000000E+00
06:15:00,1.226312E+05,1.976115E+04,6.328145E+00,1.623587E+00,1.294120E+04,9.402846E+02,6.678595E-01,8.861770E-02
06:30:00,1.170469E+05,2.502400E+04,6.040022E+00,2.152415E+00,1.232415E+04,1.067822E+03,6.360188E-01,1.011889E-01
